studentID;classroomID;gender;HISEI;literacy_end
101;1;male;70;82.05
102;1;female;58;53.85
103;1;female;70;39.74
104;1;female;53;32.05
105;1;male;51;52.56
106;1;male;77;87.18
107;1;female;44;73.08
108;1;female;34;34.62
109;1;female;34;30.77
110;1;male;43;19.23
111;1;male;70;25.64
112;1;male;43;48.72
113;1;female;69;89.74
114;1;female;70;39.74
115;1;female;70;75.64
116;1;female;40;73.08
117;1;male;71;64.1
118;1;female;49;73.08
119;1;male;;28.21
120;1;female;49;57.69
121;1;male;77;80.77
122;1;male;70;44.87
123;1;female;38;24.36
124;1;female;71;80.77
201;2;male;85;46.15
202;2;female;;41.03
203;2;male;77;66.67
204;2;male;70;19.23
205;2;female;66;33.33
206;2;male;88;71.79
207;2;male;70;32.05
208;2;male;70;25.64
209;2;female;67;
210;2;female;85;29.49
211;2;female;33;34.62
212;2;male;70;42.31
213;2;female;70;42.31
214;2;male;;64.1
215;2;female;85;
216;2;male;69;37.18
217;2;female;85;48.72
218;2;female;54;100
219;2;female;51;55.13
220;2;female;25;50
221;2;male;71;73.08
222;2;male;54;51.28
223;2;female;50;21.79
224;2;male;;
225;2;female;85;50
226;2;male;51;
301;3;male;34;10.26
302;3;male;30;6.41
303;3;female;51;
304;3;male;51;44.87
305;3;female;30;29.49
306;3;female;54;78.21
307;3;male;51;60.26
308;3;male;51;23.08
309;3;female;70;76.92
310;3;male;66;
311;3;male;71;44.87
312;3;male;70;24.36
313;3;male;59;8.97
314;3;male;23;15.38
315;3;male;23;39.74
316;3;female;69;8.97
317;3;male;34;23.08
318;3;female;77;29.49
319;3;female;31;48.72
320;3;female;;41.03
321;3;female;77;64.1
322;3;female;73;56.41
323;3;female;69;84.62
401;4;male;50;37.18
402;4;male;37;
403;4;male;70;42.31
404;4;female;69;28.21
405;4;female;69;
406;4;female;70;
407;4;male;51;66.67
408;4;female;54;57.69
409;4;female;40;76.92
410;4;female;50;
411;4;male;71;44.87
412;4;female;88;64.1
413;4;male;39;96.15
414;4;female;59;83.33
415;4;female;71;91.03
416;4;male;51;52.56
417;4;male;51;62.82
418;4;male;29;3.85
419;4;female;51;12.82
420;4;male;69;71.79
421;4;female;59;71.79
422;4;male;51;
423;4;female;52;12.82
424;4;female;69;60.26
501;5;male;;
502;5;male;38;66.67
503;5;female;85;65.38
504;5;female;69;76.92
505;5;male;69;43.59
506;5;female;77;46.15
507;5;female;51;51.28
508;5;female;71;75.64
509;5;female;71;80.77
510;5;male;54;46.15
511;5;female;51;67.95
512;5;female;49;57.69
513;5;female;51;53.85
514;5;female;51;75.64
515;5;male;67;66.67
516;5;female;67;58.97
517;5;male;71;84.62
518;5;female;;
519;5;female;77;47.44
520;5;female;88;75.64
521;5;male;66;34.62
522;5;male;65;75.64
523;5;female;65;34.62
524;5;male;50;62.82
525;5;male;54;52.56
526;5;male;71;52.56
601;6;male;66;51.28
602;6;male;66;52.56
603;6;male;51;50
604;6;female;51;25.64
605;6;female;49;47.44
606;6;male;71;
607;6;female;51;48.72
608;6;female;;
609;6;female;51;71.79
610;6;male;88;20.51
611;6;male;64;41.03
612;6;male;34;
613;6;female;29;
614;6;female;33;38.46
615;6;male;69;
616;6;female;67;50
617;6;male;53;76.92
618;6;male;51;55.13
619;6;male;50;
620;6;female;71;66.67
621;6;female;;
622;6;female;69;80.77
701;7;male;69;34.62
702;7;male;;
703;7;female;29;38.46
704;7;female;54;75.64
705;7;male;51;
706;7;male;;
707;7;female;69;78.21
708;7;female;;
709;7;male;;
710;7;male;;
711;7;female;34;
712;7;female;25;65.38
713;7;female;46;53.85
714;7;female;69;12.82
715;7;female;51;96.15
716;7;female;45;65.38
717;7;female;38;8.97
718;7;male;;
719;7;male;25;41.03
720;7;male;51;30.77
721;7;male;65;50
722;7;male;;
801;8;female;25;24.36
802;8;male;37;19.23
803;8;male;;
804;8;female;29;64.1
805;8;female;23;64.1
806;8;male;85;15.38
807;8;male;;8.97
808;8;male;69;58.97
809;8;female;43;62.82
810;8;female;77;25.64
811;8;male;45;20.51
812;8;male;33;85.9
813;8;male;53;14.1
814;8;female;37;42.31
815;8;female;70;20.51
816;8;male;33;37.18
817;8;male;51;-6.41
818;8;female;32;20.51
819;8;female;;
820;8;male;69;-7.69
821;8;female;69;
822;8;female;29;19.23
901;9;male;51;12.82
902;9;male;37;47.44
903;9;male;66;91.03
904;9;female;51;44.87
905;9;female;88;16.67
906;9;male;46;
907;9;male;70;85.9
908;9;male;23;61.54
909;9;male;23;75.64
910;9;male;66;8.97
911;9;male;66;78.21
912;9;female;70;79.49
913;9;male;53;43.59
914;9;female;71;58.97
915;9;female;70;73.08
